,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
1466,RED1935,IT'S A RED 1935 CHEVY PICKUP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1467,VDUB63,VW 1963,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1468,ICOR137,BIBLE VERSR 1 CORINTHIANS 13:7,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1469,GLORYG,"MY NAME IS GLORIA GALBRAITH, THIS IS SHORT  VERSION OF MY NAME",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1470,MIJEFE,"SPANISH WORDS MEANING ""MY BOSS,"" THE  NICKNAME I CALL MY DAD",Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1471,REDPIXI,COLOR RED SMALL CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1472,RKTGUY,ROCKET GUY IS ME WHO DESIGNS ROCKETS.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1473,SLOTSLV,SIMILAR TO SLUTS LOVE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1474,3BLUBRY,#3 BLUEBERRY (LIKE THE FRUIT BECAUSE I HAVE  A LITTLE BLUE CAR),Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
1475,AAKGHV,MY INITIALS AND COUNTRY OF BIRTH,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1476,AMGG666,NUMBERS MEAN GOOD LUCK,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1477,CAAATSS,I REALLY LOVE CATS.,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1478,CAN28O5,LAST NAME AND AREA CODE OF BIRTH,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
1479,EVILVIP,EVIL CAN BE HOSTILE TO SOME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1480,EVL1LS,"""EVL"" STANDS FOR ""EARL'S VICTORY LAP"" (MY NAME IS EARL). THE ""1LS"" IS  BECAUSE IT IS A STANDARD ""LS"" MODEL",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
1481,GPA2E,GRANDPA TO EZRA,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1482,LNDROKT,LAND ROCKET,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1483,OPTKLD,OPTICAL DYNAMICS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1484,PTYLAX,PTY = PANAMA LAX = LOS ANGELES,Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1485,SEPT369,MY BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1486,SKULBOX,"""SKULL BOX."" CAR IS A BOX-SHAPED SCION DECORATED WITH SKULLS.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1487,SR71F16,AIRCRAFT I WORKED ON IN THE AIR FORCE  BEFORE RETIRING IN 3006,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1488,UZGUYS,"UZ IS SIMILAR TO OOZIE, WEAPON REFERENCE",Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1489,WMWMNMW,CODE ALIAS,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
1490,ZBEHNTR,IT STANDS FOR ZOMBIE HUNTER.,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
1491,14RS5,YEAR AND MODEL OF AUDI RS5,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1492,1969Z,PLATE IS GOING ON A 1969 CAMARO Z28,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1493,37TOPLS,CONVERTABLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1494,FLYF18,FLY F18 AIRCRAFT FOR THE US NAVY.,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1495,1USAF,MOST LIKELY STANDS FOR UNITED STATES AIR FORCE BUT AF CAN ALSO STAND FOR AS FUCK,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1496,HNTNTK,HUNTING TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1497,JBADTOY,JOHNS BAD TOY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1498,KA388,"88, GANG REFERENCE",Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
1499,UNDEAD2,"IT IS A REFERENCE TO THE SHOW ""THE WALKING DEAD""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1500,84WLDCT,1984 WILDCAT,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1501,93HIWAY,"93 IS THE YEAR OF THE  VEHICLE AND HIWAY IS SHORT TERM FOR HIGHWAY,  PEOPLE ALSO CALL THESE CARS A HIGHWAY",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1502,BBWEST,FOR MY BABY BOY WEST,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1503,BLUMOND,BLUE MONDAY- MONDAYS ARE BAD,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
1504,B5BLUES,CAR COLOR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1505,CATROLE,ITS A MIXTURE OF MY NAME AND NICKNAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1506,COCOBMW,COCO IS OUR DOG AND BMW IS THE CAR MAKE  WE DRIVE HIM IN ;),Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1507,CRUMSBB,LAST NAME AND BUMBLE BEE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1508,DCHSS,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1509,DVILLE,CADILLAC DEVILLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1510,FEB1311,MY DECEASED SON'S BIRTHDAY,Area code and Numbers,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1511,GLAT,G= GREG LAT=LATHAN,Business and University Identities,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers
1512,GREYCAT,FAMILY PET,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1513,G38O,OTHER MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1514,HLLBENT,BENT,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1515,HNTRTRK,HUNTER'S TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1516,HNT4DUX,IM A DUCK HUNTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1517,HWA2HEL,HIGHWAY TO HELL,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1518,HYBYCZO,THE HYPERSPACE BYPASS CONSTRUCTION ZONE,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions
1519,JCDUBS,JC DUBS IS AN ALLUSION TO THE MODEL OF THE MINI COOPER (JCW),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1520,JOYBRD1,"NAME OF BUSINESS ""JOYBIRD""",Business and University Identities,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
1521,JSAF89,MINE AND MY WIFE'S INITIALS AND TOGETHER  SINCE 89,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1522,KATNAP,A PLAY ON WORDS SINCE MY NAME IS KAT AND  THE TERM CAT NAP REFERS TO A QUICK NAP  OFTEN TAKEN BY CATS BUT HUMANS NOW USE  THE TERM,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1523,LJ18K26,LEONDRE JAZZ 18 KIRSCHELLE 26,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
1524,MINI4BB,MINI COOPER FOR BABY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1525,OTRO1,ON THE RISE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1526,OTRO2,ON THE RISE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1527,OTRO3,ON THE RISE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1528,O1O2,ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1529,O9HTROD,2009 HOTROD FOR MY 09 CHALLENGER SRT8,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
1530,REDDV,RED FIVE,Colors and Descriptive Traits,Area code and Numbers,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
1531,REDWDOW,"RED WIDOW. WANTED BLACK WIDOW, WASNT AVAILABLE SO CHOSE RED AS THE COLOR",Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
1532,SEIBDSL,LAST NAME /ENGINE TYPE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
1533,SELLM,SELL CARS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1534,SHAYDUB,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1535,SHRTY1,I'M A SHORT PERSON ONE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1536,SLUGBG,WE USED TO REFER TO RED VW BEETLES AS SLUG BUGS,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
1537,SNAKED1,VIPER IS A SNAKE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
1538,STR8RKT,IT MEANS GETTING OUTDONE IN A SPORT,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1539,SVTRAP1,MY TRUCKS BRAND,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1540,THEDSL,THE DIESEL TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1541,V8GT5O,V8 GT 5.0 THIS IS FOR A 2017 MUSTANG GT WITH A 5.0 V8,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
