plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
DORIS BJ,BJ BLOW JOB (TRANSFER ORDER. CUSTOMERS INITIALS ARE BJ. HAS HAD PLATE SINCE 2000.),Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FISHWST,FISH WEST,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ICURBAK,I AM A CHIROPRACTOR AND I SEE YOUR BACK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JAS IBS,IBS IRRITABLE BOWEL SYDROME AND CUSTOMERS INITIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LAOSIGI,EXPERIENCED DRIVER,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MALPDGO,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
MINIHUM,"HUM (TRANSFER ORDER, PLATE WAS ISSUED IN 2008)",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WKYKSD,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
69GSXCC,69 SEXUAL REFERENCE (HAS 1969 BUICK ON RECORD),Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
A D$M B,A DAM B,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MRS GUY,MRS. GUY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
TRIGCRM,TRIGGERCHROME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
BARONAG,NATIVE AMERICAN FROM THE BARONA INDIAN RESERVATION,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BATU 22,NAME/DATE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BOOOYOW,JUST A SAYING,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
CATBUS3,LONG LIVE TOTORO,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LIL FLIT,LITTLE FLITABOUT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SKTYCAT,LAST NAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2117,MY CHILDREN'S DATE OF BIRTH,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
69PANEL,YEAR MADE/BODY STYLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IBNUTTY,I BE NUTTY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HBLNKND,HUMBLE AND KIND,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
PLAK8 DF,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
FUNBNZ,FUN BENZ :).,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CHSNPOW,CHASING POWDER(FRESH SNOW),Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
CHLBEAN,CHILE BEAN BECAUSE IM CHILEAN AND MEXICAN. ITS A NICK NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CUTI PI,CUTI PIE,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
HELION 1,WHAT I WAS GROWING UP,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MYPKNHD,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NINA ROS,NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SEFANOX,PLEASURE OF THE NIGHT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WKDQEEN,WICKED QUEEN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
666BLLY,HELLBILLY A TERM FOR FANS OF HANK WILLIAMS THE THIRD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
PHOTOB,MY DAUGHTER IS A PHOTOGRAPHER AND HER NAME BEGINS WITH THE LETTER B,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GUILOVE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BEECH BM,BEACH BUM,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BIGGKAT,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BIGTOP,MY NICKNAME. MY LAST NAME IS TOPOR.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CUSWIM,I AM A FORMER MEMBER OF THE UNIVERSITY OF COLORADO (CU) SWIMMING AND DIVING TEAM.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DCHLDAY,DOC HOLIDAY WAS A CHARACTER IN THE OLD WEST,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EXSSUK,DISGRUNTLED MAN WITH HORRIBLE EX WIVES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
GFLY3,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HILLYAS,POLITICAL SUPPORT IF HILLARY CLINTON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HILYES,SUPPORT HILLARY CLINTON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LAHUEVA,FEELING LAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
O3679,BECAUSE I LIKE IT.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PENSFN,PITTSBURGH PENGUINS HOCKEY FAN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDSTON,BUSINESS NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SMD7777,KIDS NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
STIEVIL,STI IS FOR THE MODEL EVIL IS JUST CLEVER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
TRY1423,MY INITIAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ULOST2,I'M ALWAYS LOST.... YOU LOST TOO?,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
URLOOKN,YOU ARE LOOKING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1R9A6P9,THE INITIALS OF MY NAME (RAP) ARE INTERSPERSED AMONG THE NUMBERS OF MY BIRTH YEAR (1969),Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
18HOLEZ,GOLFING 18 HOLES,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
2121,SAVAGE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
3DEEZYD,DDD IS MY INITIALS - DARYL D. DERRICO.  3DEEZY IS NICKNAME.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
51112,ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DUBGRL,WARRIOR'S FAN/BASKETBALL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LIV$BCH,LIVE LOVE THE BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDWYN,I LOVE RED WINE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
AFAV8R,AIR FORCE PILOT,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
BABYBUN,"I LOVE BUNNIES! EVERYONE KNOWS I AM OBSESSED WITH BUNNIES, AND THIS DEFINITELY REPRESENTS ME.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DMACFAM,ALL DS IN THE MACATANTAN FAMILY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MYJTEAM,MY J TEAM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
MY2CNTS,MY OPINION,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SCHDYNY,"SCHDY IS CUSTOMARY ABBREVIATION MY BIRTHPLACE SCHENECTADY, NEW YORK. HOME OF GENERAL ELECTRIC, AMERICAN LOCOMOTIVE COMPANY, SHIRLEY MULDOWNEY. I CAN SHOW DMV MY BIRTH CERTIFICATE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LUVLAFN,LOVE LAUGHING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BNEHEAD,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
D M N,INITIALS,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JUNHO82,NAME AND BIRTH,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
LVMACHN,LOVE MACHINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
EASY,easy can have sexual connotations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SCNDREL,SCOUNDREL,Diverse Personal Expressions,Pet and Animal Themes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
SOUL WNR,SOUL WINNER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
8BCHBUM,A BEACH BUM,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
C8H18 X,CHEMICAL COMPOSITION OF OCTANE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
TMGLIFE,MY LIFESTYLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AHHH RUN,NICKNAME: PRONOUNCED ARRON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ADADEE,"TO WRITE IN FULL: MEANS ADA DOLLARS, MY NICK NAME",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ALLHUSL,WORK HARD FOR EVERYTHING YOU WANT IN LIFE .,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ATEASE1,MY LIFE IS AT EASE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BRNREDI,JUST WE ARE ALWAYS READY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BULYGAL,ENGLISH AND FRENCH BULLDOG OWNER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BUTWAIT,BUT WAIT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CHEFG1,CHEF GOURMET 1,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CHILLAA,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
