plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
ERNGBRA,"ERIN GO BRAGH WHICH MEANS ""IRELAND FOREVER""",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IL HEFE,THE BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
LUV MUVI,LOVE MUJI (MY CAT) AND VIVI (MY DAUGHTER),Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
NAVY FMF,I SERVED IN THE NAVY IN THE FLEET MARINE FORCE FMF,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NORIRED,NICOLE MARIE NORI IS NICK NAME FOR NICOLE MARIE - RED IS MY FAV COLOR,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NOT4DS,LOOKS LIKE NOT FOR ROADS AND LOOKS LIKE NO TARDS,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
OC 911T,MY NAME AND THE MODEL NAME OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PGPNTER,PAINTING CONTRACTOR,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
QUIKKAT,QUICK CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
ROB PAL,ABBREVIATION FOR ROBERTO PALACIOS,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
U WATT M8,"BRITISH EXPRESSION, SHORT FOR: WHAT DO YOU MEAN MY FRIEND? WILL BE GOING ON AN ELECTRIC CAR - HENCE THE WATT PUN. WATT IS THE SI UNIT FOR POWER.",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
WIKDCAT,WICKED CAT. THE CAR IS A DODGE CHALLENGER HELLCAT. THANKS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
17 H CAT,LAST TWO DIGETS OF MODEL YEAR AND ABREVIATED LETTERS OF VEHICLE MODEL HELLCAT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
55P PTWN,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUE ZEN,BLUE ZEN ( PEACE AND TRANQUILITY?,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
BLU7PRL,SPIRITUAL WISDOM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CLVR BLU,"CLEVER BLUE, MASHUP OF VELOSIRAPTOR NAME AND QUOTE FROM JURASSIC PARK MOVIES",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DYRSBLU,DODGERS BLUE,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
REDJEWL,CAR COLOR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
REDVLK8,I BAKE RED VELVET CAKES,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
BLUER,I WANT THE OCEANS TO STAY BLUE AND MY CAR IS BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Colors and Descriptive Traits
STIQ,stick,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
B 66 S,"B.S. =BULLSHIT, CUSTOMERS BERNARD AND SANDRA",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
EL PEINE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HGOKAT1,MY NAME AND WIFE'S NAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
KONE YO,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KRWD KTL,"THE PLATE IS FOR A MUSTANG AND IT STANDS FOR ""CROWD CONTROL"" WHICH CORRELATES WITH AN ON GOING MUSTANG JOKE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
LAK8RS,LA LAKERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
LOWRNGR,"LOW RANGER , FOR OFF ROAD LOW RANGE GEARING",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
MUDDYZ U,SHORT FOR MUDDY UNDERS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MY3RD RT,THIS IS THE THIRD CHARGER R/T I HAVE OWNED,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
OJ SIMP,GOOD LUCK,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SNGERAS,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TA CHIVO,IT'S COOL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
THE SET,NAME OF BUSINESS I OWN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
82 WPB,82 FOOT US COAST GUARD PATROL BOAT,Diverse Personal Expressions,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUQT 2,BLUE CUTIE NO. 2,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
CYNCATS,CANYON CATS,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
I AM CAT,I AM CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
JHISNCH,JANA H. IS IN CHARGE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLIND W,HUSBANDS STAGE NAME BLIND WILLIE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
BTTL 69,CAR/VLKSW,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BV221DV,SFPD STAR NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
CRPSHOW,CREEPSHOW,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EV288,FIRST INITIAL LUCKY NUMBER,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
HARVY LE,HARVEY LEE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HIGH K5,I HAVE A LIFTED BLAZER K5.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
HLLNHLS,"FAVORITE SONG BY THE PISTOL ANNIES ""HELL ON HEELS""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ITS HR69,IT'S HER 1969 BARRACUDA,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
J BOSS,JAVIER THE BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
JON1421,BIBLE VERSE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
KLN WNDO,CLEAN WINDOWS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MYOUIJA,MY OUIJA IS A BOARD GAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NYUJD14,I GRADUATED FROM NYU SCHOOL OF LAW IN 2014. MY DEGREE IS A JD.,Business and University Identities,Business and University Identities,Business and University Identities,Personal and Family names,Business and University Identities
PEREZ5O,LAST NAME OF OWNER AND ENGINE SIZE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RBETO 71,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SC NICA,"SC MEANS UNIVERSITY OF SOUTHERN CALIFORNIA, MY ALMA MATER NICA IS SHORT FOR NICARAGUA, MY PLACE OF BIRTH",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
SPIT65,BOAT NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
3N14GVS,GOD (TRINITY) FORGIVES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GRRAMS$,LOVE MY GRANDMOTHER,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
MUTT$ER,RESCUES AND LOVES MUTT DOGS,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
$SUTIL,CANTANKEROUS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EELEGAL,WHAT ONE SHOULD NOT DO; SOMETHING ILLEGAL.,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
BLACK14,MY CAR IS A BLACK 2014,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
BLUAXLZ,REPRESENTS THE NAME OF OUR JEEP CLUB  CALLED BLUE AXLES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUEINC,BLUE LINE INC,Business and University Identities,Area code and Numbers,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Business and University Identities
BLUEWVE,BLUEWAVE IS THE NAME OF MY COMPANY,Business and University Identities,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUMGIK,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BLUOVL,"BLUE OVAL IS THE FORD COMPANY LOGO  NICKNAME, A BLUE OVAL WITH ""FORD"" INSIDE,  SINCE THE EARLY 1900'S",Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
BLURS,COLOR OF CAR PLUS MODEL OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
DUBUARX,TRANSLITERATION OF W-R-X,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
FLX7CAT,"FAVORITE CARTOON GROWING UP. ""FELIX THE CAT"".",Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
GRY5OH,GREY MUSTANG 5.0,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
HIYAYAA,MY GRANDSON CALLS ME YAYA,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
HUNTER9,"HUNTER, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
JAGERBM,"JAGER IS GERMAN FOR HUNTER, AND MY CAR IS GERMAN. BM IS BOOST MANAGEMENT BECAUSE  IT HAS A TURBO.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
