plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
DCKOMIX,I REALLY LOVE READING DC COMICS SO I WANTED TO GET SOMETHING THAT IM PASSIONATE ABOUT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DIRTDMN,DIRT DEMON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DYNGHY,ITS SPELLED LIKE THIS BECAUSE DINGHY ISNT AVAILABLE. ITS FOR A JEEP WERE TOWIG BEHIND OUR RV HENCE DINGHY.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
ESE RIX,THAT'S RICKS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
FSTSHKR,CHALLENGER IS SHAKER MODEL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
GRNDUP1,GROUND UP 1,Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
HOOHOSS,"MY TRUCK'S NAME IS HOSS AND I FOUND HIM AT HARVEST AUTO & MACHINERY IN WAHOO, NEBRASKA. TRUE STORY!",Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
ILV MARE,"I LOVE MY WIFE, MARILYN=",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IN666US,WEDDING ANNIVERSARY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JFDM666,THIS IS OUR FAMILY CAR. FAMILY INITIALS AND NUMBERS.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
KIKNROK,KICK ROCKS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
KY GIRL,I AM A KENTUCKY NATIVE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LIL PLUG,"I HAVE A SMALL BMW PLUG IN, ELECTRIC CAR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LLLBOOM,LORI LYNN LAVOIE BOOM HERE I AM.),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NITE CAT,NIGHT CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
NT PINK,COLOR OF CAR IS RASPBERRY NOT PINK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
NVHO7GG,NAME OF INITIALS AMD FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PETHEAD,NICKNAME FOR PET SHOP BOYS MUSIC GROUP FAN (PET HEAD),Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
POWDERS,GOD WORK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
PURE FN,MY COMPANY NAME IS PURE FINANCIAL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PURE LVN,PURE LIVING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
RD RAWKT,APPEARANCE OF RED CAR LOOKS LIKE A RED ROCKET,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
ROCKIT 2,ROCKIT IS THE NAME OF MY DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
SBUTMTY,SMALL BUT MIGHTY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SPCODYC,SPACE ODYSSEY,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Area code and Numbers,
TPTIONL,CONVERTIBLE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
UNCLBUK,UNCLE BUCK,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
4MRFISH,FOR MISTER FISH,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,
4SAABG,FOR DAD,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
69LUV N,LOVING MY 69 GMC,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
88888JS,8 IS THE LUCKY NUMBER IN CHINESE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,
9BLKCAT,9 GRANDCHILDREN JAGUAR CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
9 NINA,MOTHER'S NAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
911 89,MODEL & YEAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
3B$CHON,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
MY BLU1,MY BLUE ONE,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
SHUTT ON,FIRST INITIAL AND LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
BLUVED,BELOVED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
C7 GS,NAME OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LUCH BK,NAME & BIRTH PLACE.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
LYV FISH,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MAXXPSI,SUPERCHARGER CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ROLLA93,COROLLA 1993,Business and University Identities,Area code and Numbers,Area code and Numbers,Colors and Descriptive Traits,Area code and Numbers
R4TEEN8,ROMANS 14:8,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,
SACHRNT,SACRAMENTO STATE HORNET,Business and University Identities,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
SLUG BUS,PLATE IS GOING ON A VW BUS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
B CHEEE,"IT SOUNDS LIKE ""BEACHY""",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MYAAHTA,MY MIATA,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,
GWT OPC,god we trust others pay cash,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PB 11 G,hometown plate in india,Vehicle and Car Descriptions and Attributes,Personal and Family names,Area code and Numbers,Area code and Numbers,Area code and Numbers
TRAWW,name,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BRNHLD,short for brunhilde name of the bike,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
FATBOY 6,motorcycle model numeral 6,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HELNHOG,helens harly davidson,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
RIK$KAT,richard loves kathleen,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
CBT VT,combat vet,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FYRWOK,fire walker,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BOONZ,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ARDY CAT,nickname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ABBYKAT,NAME OF MY CAT,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
AJK JRK,MY INITIALS AND WIFE'S INITIALS,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
BEEM UP,BEAM ME UP STAR TREK TV SHOW TRANSPORTER COMMAND TO BEAM SOMEONE UP TO THE STARSHIP,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
BIGCAT 3,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DMNWTHN,THE MAN WITHIN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DPLRBLE,DEPLORABLE,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
FIVOGRL,5.0 MUSTANG GIRL,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
IM2FAT,REPRESENTING MY WEIGHT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LHJ 1314,"L - CHENGLIN LONG, H - JUAN HAN, 1314 - WE GOT MARRIED ON 1/3/14",Area code and Numbers,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
LH8,CHINESE FOR GOOD LUCK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MTNCAT1,MOUNTAINCAT,Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
STA BRTL,BAND NAME STAY BRUTAL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
WLDCAT3,WILDCAT 3,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
WLDKAT1,WILDCAT 1,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
1SLWCAT,HAVE A NICE DAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
9OO22,EAST LOS ANGELES ZIP CODE 90022,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
LVCAT8,LOVE CAT 8,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
MDK1111,NEW INITIALS FOR ME WHEN I GET MARRIED IN THREE WEEKS AND OUR WEDDING DATE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MFG REP,MANUFACTURER REPRESENTATIVE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
O GGG O,THERE ARE 3 GARCIAS IN MY FAMILY,Diverse Personal Expressions,Pet and Animal Themes,Personal and Family names,Pet and Animal Themes,Pet and Animal Themes
WLDKAT4,WILDCAT 4,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
YT13FTR,MILLENIUM FALCON STAR WARS,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
14GCI,VEHICLE #/CO. NAME,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PGPEN,"PIG, POLICE REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BBPROPS,BB PROPERTY SOLUTIONS,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Business and University Identities
BLULVS,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
CWO131O,RANK AND JOB DESCRIPTION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
